NNets, Digits, seed = 100 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
109,0,1,1,0,8,0,0,7,0,zero
0,146,2,1,0,0,3,2,0,7,seven
1,8,112,7,0,2,8,13,1,0,four
0,0,11,109,0,6,6,1,0,0,six
1,0,1,0,88,10,29,1,4,7,two
15,0,0,5,5,80,0,3,21,7,five
0,0,0,0,9,2,74,10,8,19,eight
0,0,15,0,3,2,7,117,0,0,one
1,5,3,0,12,12,10,0,54,33,nine
1,6,3,1,6,5,6,0,14,104,three

(0.7138749101365924, 0.023750980147658876)
NNets, Digits, seed = 100 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
121,0,1,2,0,0,0,0,1,1,zero
1,150,4,0,0,0,2,0,3,1,seven
1,3,133,6,0,0,4,1,4,0,four
0,0,1,126,0,0,3,3,0,0,six
1,2,0,0,126,0,6,3,1,2,two
1,1,0,2,1,119,0,0,11,1,five
1,1,4,0,2,1,97,15,1,0,eight
1,2,2,2,2,0,6,128,1,0,one
0,7,0,0,0,8,8,3,99,5,nine
0,4,0,2,4,5,2,0,2,127,three

(0.8813803019410497, 0.016992316300158104)
NNets, Digits, seed = 100 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
125,0,0,1,0,0,0,0,0,0,zero
0,152,0,0,3,1,1,0,3,1,seven
0,1,130,7,0,0,1,6,6,1,four
0,0,1,130,0,0,1,1,0,0,six
0,3,0,0,131,1,3,1,1,1,two
0,0,0,2,2,125,0,0,5,2,five
0,1,1,0,2,2,97,12,2,5,eight
1,1,0,1,0,3,11,123,4,0,one
0,1,3,0,0,1,6,2,117,0,nine
0,5,0,0,4,2,0,0,2,133,three

(0.907979870596693, 0.01519049886095772)
NNets, Digits, seed = 100 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
124,0,0,0,0,0,0,0,2,0,zero
0,154,1,0,1,0,2,0,3,0,seven
1,3,136,3,0,0,2,3,4,0,four
0,0,1,128,0,1,2,1,0,0,six
0,2,0,0,136,0,2,0,1,0,two
0,1,1,0,1,131,0,0,1,1,five
0,0,0,0,0,3,107,10,1,1,eight
1,0,2,1,2,1,3,130,3,1,one
0,2,2,0,0,3,4,2,113,4,nine
0,4,0,0,0,1,2,0,8,131,three

(0.9273903666427031, 0.013637065247230675)
NNets, Digits, seed = 101 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
136,0,3,4,0,5,0,0,13,0,zero
0,129,0,0,0,0,1,3,0,4,seven
0,12,99,10,0,3,10,8,0,3,four
1,0,8,118,0,2,4,1,0,0,six
3,0,2,0,79,15,37,3,5,10,two
13,1,4,3,4,84,0,2,18,4,five
0,1,2,2,9,1,100,5,4,10,eight
0,3,6,0,6,3,8,119,1,1,one
0,5,4,0,11,22,11,0,60,29,nine
0,5,1,0,5,7,13,0,10,106,three

(0.7182705718270572, 0.023283144809942372)
NNets, Digits, seed = 101 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
148,0,1,1,0,5,0,2,1,3,zero
1,125,2,0,1,0,2,0,2,4,seven
0,3,129,2,0,0,2,1,8,0,four
3,0,0,123,1,2,1,4,0,0,six
0,0,1,0,129,0,5,7,2,10,two
1,1,0,0,0,111,0,1,17,2,five
0,2,6,2,3,1,103,12,4,1,eight
1,0,2,1,1,2,10,129,1,0,one
1,11,1,0,1,5,12,1,107,3,nine
0,2,0,0,6,4,1,0,3,131,three

(0.8612273361227336, 0.017893379021928082)
NNets, Digits, seed = 101 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
160,0,1,0,0,0,0,0,0,0,zero
0,129,1,0,0,3,0,0,0,4,seven
0,0,132,3,0,0,0,4,6,0,four
1,0,1,130,2,0,0,0,0,0,six
1,1,2,1,133,5,7,1,0,3,two
0,0,0,4,2,122,0,0,3,2,five
0,2,4,1,7,1,108,4,1,6,eight
0,0,2,1,0,2,12,124,5,1,one
0,5,3,0,0,3,5,1,124,1,nine
0,0,0,0,6,4,0,1,4,132,three

(0.902370990237099, 0.015362556755757087)
NNets, Digits, seed = 101 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
158,0,1,0,0,1,1,0,0,0,zero
0,127,4,0,0,1,0,2,2,1,seven
1,2,132,1,0,0,3,2,4,0,four
